ticker,stock
AAK.ST,AAK
ABB.ST,ABB
ALIF-B.ST,AddLife
ANOD-B.ST,Addnode Group
ADDT-B.ST,Addtech
AFRY.ST,AFRY
ALFA.ST,Alfa Laval
ALLEI.ST,Alleima
ARION-SDB.ST,Arion Bank SDB
ARJO-B.ST,Arjo
ASSA-B.ST,Assa Abloy
AZN,AstraZeneca
ATCO-B.ST,Atlas Copco
ALM.ST,Atrium Ljungberg
ALIV-SDB.ST,Autoliv SDB
AZA.ST,Avanza Bank
AXFO.ST,Axfood
BALD-B.ST,Balder
BEIJ-B.ST,Beijer Ref
BILI-A.ST,Bilia
BILL,Billerud
BIOA-B.ST,BioArctic
BIOT.ST,Biotage
BOL.ST,Boliden
BOOZT.ST,Boozt
BRAV.ST,Bravida Holding
BUFAB.ST,Bufab
BURE.ST,Bure Equity
BFG.ST,Byggfakta
CAST.ST,Castellum
CATE.ST, Catena
CINT.ST,Cint Group
CORE-B.ST,Corem Property Group B
CRED-A.ST,Creades A
DIOS.ST,Diös Fastigheter
DOM.ST,Dometic Group
ELUX-B.ST,Electrolux
EKTA-B.ST,Elekta
EMBRAC-B.ST,Embracer Group
EPI-B.ST,Epiroc
EQT.ST,EQT
ERIC-B.ST,Ericsson
ESSITY-B.ST,Essity
EVO.ST,Evolution
FABG.ST,Fabege
FPAR-A.ST,Fastpartner D
FOI-B.ST,Fenix Outdoor B
FNOX.ST,Fortnox
GETI-B.ST,Getinge
HM-B.ST,H&M
HEM.ST,Hemnet Group
HEXA-B.ST,Hexagon B
HTRO.ST,Hexatronic Group
HPOL-B.ST,Hexpol B
HMS.ST,HMS Networks
HOLM-B.ST,Holmen B
HUFV-A.ST,Hufvudstaden A
HUSQ-B.ST,Husqvarna B
INDU-C.ST,Industrivärden C
INDT.ST,Indutrade
INSTAL.ST,Instalco
INTRUM.ST,Intrum
INVE-B.ST,Investor B
JM.ST,JM
KIND-SDB.ST,Kindred Group SDB
KINV-B.ST,Kinnevik B
LAGR-B.ST,Lagercrantz Group B
LATO-B.ST,Latour B
LIFCO-B.ST,Lifco B
LIAB.ST,Lindab International
LOOMIS.ST,Loomis
LUND-B.ST,Lundberg B
LUG.TO,Lundin Gold
LUMI.ST,Lundin Mining Corporation
MCOV-B.ST,Medicover B
TIGO-SDB.ST,Millicom International Cellular SDB
MIPS.ST,Mips
MTG-B.ST,MTG B
MTRS.ST,Munters Group AB
MYCR.ST,Mycronic
NCAB.ST,NCAB Group
NCC-B.ST,NCC B
NEWA-B.ST,New Wave B
NIBE-B.ST,Nibe Industrier B
NOLA-B.ST,Nolato B
NDA-SE.ST,Nordea Bank
NP3.ST,NP3 Fastigheter
NYF.ST,Nyfosa
ORRON.ST,Orrön Energy
OX2.ST,OX2
PNDX-B.ST,Pandox B
PEAB-B.ST,Peab B
PLAZ-B.ST,Platzer Fastigheter Holding B
RATO-B.ST,Ratos B
SAAB-B.ST,SAAB B
SAGA-B.ST,Sagax B
SAND.ST,Sandvik
SBB-B.ST,SBB Norden B
SCA-B.ST,SCA B
SDIP-B.ST,Sdiptech B
SEB-C.ST,SEB C
SECT-B.ST,Sectra B
SECU-B.ST,Securitas B
SINCH.ST,Sinch
SKA-B.ST,Skanska B
SKF-B.ST,SKF B
SSAB-B.ST,SSAB B
SF.ST,Stillfront Group
STE-R.ST,Stora Enso R
STOR-B.ST,Storskogen B
SWEC-B.ST,Sweco B
SWED-A.ST,Swedbank A
SOBI.ST,Swedish Orphan Biovitrum
SYSR.ST,Systemair
TEL2-B.ST,Tele2 B
TELIA.ST,Telia Company
THULE.ST,Thule Group
TIETOS.ST,Tietoevry
8TRA.ST,TRATON SE
TREL-B.ST,Trelleborg B
TROAX.ST,Troax Group
TRUE-B.ST,Truecaller
VITR.ST,Vitrolife
VOLO.ST,Volati
VOLV-B.ST,Volvo B
VOLCAR-B.ST,Volvo Car B
WALL-B.ST,Wallenstam B
WIHL.ST,Wihlborgs Fastigh
